hit_id	length	cysteine_content	e_value	query_accession	query_name
All_sequences_Mulenga2020_id_tr|Q9Q8L2|Q9Q8L2_MYXVL	554	0.01	2e-57	-	VOG00029
All_sequences_Mulenga2020_id_tr|Q9Q8Z0|Q9Q8Z0_RFVKA	552	0.01	1e-53	-	VOG00029
All_sequences_Mulenga2020_id_tr|A0A0B5JQV2|A0A0B5JQV2_RHDV	2336	0.02	4.3e-116	-	VOG00037
All_sequences_Mulenga2020_id_tr|D2I9K2|D2I9K2_RHDVR	2328	0.02	6.3e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLQ3|A0A0B4PLQ3_RHDV	2341	0.02	1.7e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PM45|A0A0B4PM45_RHDV	2341	0.02	4.7e-116	-	VOG00037
All_sequences_Mulenga2020_id_tr|T2FH57|T2FH57_RHDV	2341	0.02	1.7e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PMJ6|A0A0B4PMJ6_RHDV	2341	0.02	1.5e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|T2FG90|T2FG90_RHDV	2341	0.02	1.7e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLJ2|A0A0B4PLJ2_RHDV	2341	0.02	1.7e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|T2FFH9|T2FFH9_RHDV	2341	0.02	1.6e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLJ7|A0A0B4PLJ7_RHDV	2341	0.02	2.9e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|T2FGF6|T2FGF6_RHDV	2341	0.02	3e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PMK8|A0A0B4PMK8_RHDV	2341	0.02	1.8e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLW6|A0A0B4PLW6_RHDV	2341	0.02	3.1e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLY0|A0A0B4PLY0_RHDV	2341	0.02	6.9e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q3HNQ2|Q3HNQ2_RHDV	2344	0.02	1.2e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A8HC73|A8HC73_RHDV	2344	0.02	1.1e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|A8HC71|A8HC71_RHDV	2325	0.02	6e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NEZ1|A0A0H4NEZ1_RHDV	2338	0.02	7.9e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NIB9|A0A0H4NIB9_RHDV	2338	0.02	7.9e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NVN2|A0A0H4NVN2_RHDV	2338	0.02	7.9e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A4UY09|A4UY09_RHDV	2344	0.02	2.5e-114	-	VOG00037
All_sequences_Mulenga2020_id_sp|Q86117|POLG_RHDVS	2344	0.02	3.5e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q2N1I4|Q2N1I4_RHDV	2323	0.02	5.4e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|S4TB53|S4TB53_RHDV	2344	0.02	4.5e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q9DYD4|Q9DYD4_RHDV	2322	0.02	8.6e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|B2WWP8|B2WWP8_RHDV	2344	0.02	1.9e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLR2|A0A0B4PLR2_RHDV	2344	0.02	3.1e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PM69|A0A0B4PM69_RHDV	2344	0.02	4.5e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A8HC69|A8HC69_RHDV	2344	0.02	7.1e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|B2WWP0|B2WWP0_RHDV	2344	0.02	3.6e-113	-	VOG00037
All_sequences_Mulenga2020_id_sp|P27410|POLG_RHDVF	2344	0.02	2.2e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLK2|A0A0B4PLK2_RHDV	2344	0.02	4.5e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PMM1|A0A0B4PMM1_RHDV	2344	0.02	4.5e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NIA9|A0A0H4NIA9_RHDV	2338	0.02	1.7e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q9EMC2|Q9EMC2_RHDV	2344	0.02	1.6e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NDW4|A0A0H4NDW4_RHDV	2338	0.02	1.3e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|S4TB26|S4TB26_RHDV	2344	0.02	9.4e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NGK4|A0A0H4NGK4_RHDV	2338	0.02	8e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|B2WWN4|B2WWN4_RHDV	2344	0.02	2.8e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NGL2|A0A0H4NGL2_RHDV	2338	0.02	1.6e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|B2WWN8|B2WWN8_RHDV	2340	0.02	2.2e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|A8HC75|A8HC75_RHDV	2344	0.02	2e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|B2WWM8|B2WWM8_RHDV	2344	0.02	2.9e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NDV3|A0A0H4NDV3_RHDV	2338	0.02	7.9e-115	-	VOG00037
All_sequences_Mulenga2020_id_sp|Q86119|POLG_RHDVA	2344	0.02	1.6e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NDY5|A0A0H4NDY5_RHDV	2338	0.02	5.8e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|H9U901|H9U901_RHDV	2344	0.02	7.5e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A8HC67|A8HC67_RHDV	2344	0.02	3.7e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|E5FR39|E5FR39_RHDV	2344	0.02	1e-113	-	VOG00037
All_sequences_Mulenga2020_id_sp|Q89273|POLG_RHDVB	2344	0.02	5.1e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NIE6|A0A0H4NIE6_RHDV	2338	0.02	7.5e-114	-	VOG00037
