hit_id	length	cysteine_content	e_value	query_accession	query_name
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01001930.1.p2	340	0.04	0.031	-	VOG00029
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01035204.1.p2	389	0.00	5.9e-55	-	VOG00134
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01033512.1.p2	260	0.00	9.4e-28	-	VOG02241
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01033513.1.p1	196	0.01	2e-18	-	VOG02241
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01032355.1.p2	105	0.00	1.4e-05	-	VOG02241
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01019696.1.p1	106	0.00	1.7e-07	-	VOG00134
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01039007.1.p1	293	0.02	0.017	-	VOG00134
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01012108.1.p1	293	0.00	0.029	-	VOG00134
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01059476.1.p1	317	0.02	0.028	-	VOG00134
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01035291.1.p1	158	0.01	0.03	-	VOG00134
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01037148.1.p1	368	0.02	0.04	-	VOG00134
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01051262.1.p1	368	0.02	0.04	-	VOG00134
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01043355.1.p1	311	0.01	0.043	-	VOG00134
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01044355.1.p1	452	0.02	0.065	-	VOG00134
Hypsiglena_sp._JMG-2014_GBSI01_id_lcl|GBSI01000333.1_prot_JAC96162.1_1	448	0.02	0.067	-	VOG00134
Conophis_lineatus_GJFD01.transdecoder.pep_id_GJFD01000183.1.p1	449	0.02	0.069	-	VOG00134
Boiga_irregularis_GBSH01_id_lcl|GBSH01000408.1_prot_JAG68616.1_1	448	0.02	0.085	-	VOG00134
Crotalus_horridus_GAAZ01_id_lcl|GAAZ01000273.1_prot_JAA97670.1_1	448	0.02	0.1	-	VOG00134
